Time resolution is 1 ps
Time: 0 | x_in = xxxxxxxxxxxxxxxx | y_out = xxxxxxxxxxxxxxxx
Time: 11338000 | x_in = 0000000000000000 | y_out = 0000000000000000
Time: 34014000 | x_in = 0000001011000110 | y_out = 0000000000000000
Time: 56690000 | x_in = 0000010110001001 | y_out = 0000000000000000
Time: 79366000 | x_in = 0000100001000100 | y_out = 0000000000000000
Time: 102042000 | x_in = 0000101011110101 | y_out = 0000000000000000
Time: 124718000 | x_in = 0000110110011000 | y_out = 0000000000000000
Time: 147394000 | x_in = 0001000000101001 | y_out = 0000000000000000
Time: 170070000 | x_in = 0001001010100101 | y_out = 0000000000000000
Time: 192746000 | x_in = 0001010100001001 | y_out = 0000000000000000
Time: 215422000 | x_in = 0001011101010010 | y_out = 0000000000000000
Time: 238098000 | x_in = 0001100101111101 | y_out = 0000000000000000
Time: 260774000 | x_in = 0001101110000111 | y_out = 0000000000000000
Time: 283450000 | x_in = 0001110101101101 | y_out = 0000000000000000
Time: 306126000 | x_in = 0001111100101101 | y_out = 0000000000000000
Time: 328802000 | x_in = 0010000011000101 | y_out = 0000000000000000
Time: 351478000 | x_in = 0010001000110010 | y_out = 0000000000000000
Time: 374154000 | x_in = 0010001101110100 | y_out = 0000000000000000
Time: 396830000 | x_in = 0010010010000111 | y_out = 0000000000000000
Time: 419506000 | x_in = 0010010101101011 | y_out = 0000000000000000
Time: 442182000 | x_in = 0010011000011111 | y_out = 0000000000000000
Time: 464858000 | x_in = 0010011010100001 | y_out = 0000000000000000
Time: 487534000 | x_in = 0010011011110001 | y_out = 0000000000000000
Time: 510210000 | x_in = 0010011100001111 | y_out = 0000000000000000
Time: 532886000 | x_in = 0010011011111011 | y_out = 0000000000000000
Time: 555562000 | x_in = 0010011010110100 | y_out = 0000000000000000
Time: 578238000 | x_in = 0010011000111011 | y_out = 0000000000000000
Time: 600914000 | x_in = 0010010110010000 | y_out = 0000000000000000
Time: 623590000 | x_in = 0010010010110101 | y_out = 0000000000000000
Time: 646266000 | x_in = 0010001110101011 | y_out = 0000000000000000
Time: 668942000 | x_in = 0010001001110010 | y_out = 0000000000000000
Time: 691618000 | x_in = 0010000100001101 | y_out = 0000000000000000
Time: 714294000 | x_in = 0001111101111101 | y_out = 0000000000000000
Time: 736970000 | x_in = 0001110111000100 | y_out = 0000000000000000
Time: 759646000 | x_in = 0001101111100101 | y_out = 0000000000000000
Time: 782322000 | x_in = 0001100111100010 | y_out = 0000000000000000
Time: 804998000 | x_in = 0001011110111101 | y_out = 0000000000000000
Time: 827674000 | x_in = 0001010101111010 | y_out = 0000000000000000
Time: 850350000 | x_in = 0001001100011010 | y_out = 0000000000000000
Time: 873026000 | x_in = 0001000010100010 | y_out = 0000000000000000
Time: 895702000 | x_in = 0000111000010101 | y_out = 0000000000000000
Time: 918378000 | x_in = 0000101101110101 | y_out = 0000000000000000
Time: 941054000 | x_in = 0000100011000111 | y_out = 0000000000000000
Time: 963730000 | x_in = 0000011000001101 | y_out = 0000000000000000
Time: 986406000 | x_in = 0000001101001011 | y_out = 0000000000000000
Time: 1009082000 | x_in = 0000000010000101 | y_out = 0000000000000000
Time: 1031758000 | x_in = 1111110110111111 | y_out = 0000000000000000
Time: 1054434000 | x_in = 1111101011111100 | y_out = 0000000000000000
Time: 1077110000 | x_in = 1111100000111110 | y_out = 0000000000000000
Time: 1099786000 | x_in = 1111010110001011 | y_out = 0000000000000000
